#mGo	mLSP	Total	Counts	genWeight
650	275	1774969	275830	275830.000
650	300	1774969	284808	284808.000
650	250	1774969	284829	284829.000
625	400	1774969	358804	358804.000
#mGo	mLSP	Total	Counts	genWeight
650	350	1738564	270072	270072.000
675	300	1738564	209029	209029.000
650	400	1738564	284640	284640.000
675	275	1738564	208867	208867.000
650	375	1738564	279752	279752.000
675	250	1738564	201410	201410.000
650	425	1738564	284794	284794.000
#mGo	mLSP	Total	Counts	genWeight
675	450	1277916	212844	212844.000
675	375	1277916	212673	212673.000
675	350	1277916	213253	213253.000
675	425	1277916	213048	213048.000
675	400	1277916	212876	212876.000
675	325	1277916	213222	213222.000
#mGo	mLSP	Total	Counts	genWeight
700	325	2050645	182540	182540.000
700	100	2050645	188514	188514.000
700	350	2050645	188627	188627.000
700	400	2050645	188404	188404.000
700	375	2050645	182849	182849.000
700	425	2050645	188818	188818.000
700	200	2050645	183274	183274.000
700	450	2050645	188785	188785.000
700	0	2050645	182678	182678.000
700	250	2050645	188368	188368.000
700	300	2050645	187788	187788.000
#mGo	mLSP	Total	Counts	genWeight
725	500	1773584	135291	135291.000
700	475	1773584	187848	187848.000
725	475	1773584	135160	135160.000
725	375	1773584	141027	141027.000
725	450	1773584	141055	141055.000
725	350	1773584	135286	135286.000
725	425	1773584	140679	140679.000
750	250	1773584	111772	111772.000
725	325	1773584	129358	129358.000
725	400	1773584	141344	141344.000
750	300	1773584	117004	117004.000
725	300	1773584	140355	140355.000
750	200	1773584	117405	117405.000
#mGo	mLSP	Total	Counts	genWeight
750	400	1824035	140777	140777.000
750	350	1824035	140655	140655.000
750	525	1824035	139878	139878.000
750	475	1824035	140314	140314.000
775	350	1824035	140492	140492.000
775	400	1824035	140277	140277.000
750	500	1824035	139812	139812.000
750	425	1824035	140302	140302.000
750	450	1824035	140585	140585.000
750	375	1824035	140168	140168.000
775	375	1824035	140465	140465.000
775	450	1824035	140519	140519.000
775	425	1824035	139791	139791.000
#mGo	mLSP	Total	Counts	genWeight
775	500	561539	140425	140425.000
775	475	561539	140831	140831.000
775	550	561539	140137	140137.000
775	525	561539	140146	140146.000
#mGo	mLSP	Total	Counts	genWeight
800	475	1807266	135940	135940.000
800	0	1807266	93704	93704.000
800	250	1807266	93798	93798.000
800	500	1807266	140917	140917.000
800	525	1807266	136443	136443.000
825	400	1807266	140645	140645.000
800	300	1807266	94049	94049.000
800	550	1807266	136046	136046.000
800	400	1807266	136621	136621.000
800	575	1807266	140929	140929.000
800	100	1807266	93753	93753.000
800	425	1807266	136326	136326.000
800	350	1807266	93897	93897.000
800	200	1807266	93709	93709.000
800	450	1807266	140489	140489.000
#mGo	mLSP	Total	Counts	genWeight
850	300	1875988	93561	93561.000
825	575	1875988	141215	141215.000
850	475	1875988	140275	140275.000
825	600	1875988	140520	140520.000
850	450	1875988	140659	140659.000
825	550	1875988	140370	140370.000
850	400	1875988	94028	94028.000
850	250	1875988	93954	93954.000
825	525	1875988	140947	140947.000
825	475	1875988	140383	140383.000
825	500	1875988	140698	140698.000
825	450	1875988	140986	140986.000
850	200	1875988	94136	94136.000
850	350	1875988	93874	93874.000
825	425	1875988	140382	140382.000
#mGo	mLSP	Total	Counts	genWeight
850	525	1800849	140762	140762.000
850	600	1800849	140325	140325.000
875	450	1800849	140488	140488.000
850	625	1800849	129746	129746.000
875	600	1800849	140255	140255.000
850	550	1800849	141038	141038.000
875	500	1800849	138513	138513.000
875	475	1800849	140376	140376.000
875	575	1800849	140217	140217.000
850	575	1800849	140865	140865.000
850	500	1800849	140355	140355.000
875	550	1800849	130366	130366.000
875	525	1800849	137543	137543.000
#mGo	mLSP	Total	Counts	genWeight
875	650	1867622	141013	141013.000
875	625	1867622	140949	140949.000
900	550	1867622	140872	140872.000
900	200	1867622	93828	93828.000
900	100	1867622	94103	94103.000
900	625	1867622	140645	140645.000
900	400	1867622	94181	94181.000
900	525	1867622	140703	140703.000
900	250	1867622	93798	93798.000
