#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
2250	100	31135695	31135695.000	17556	17556.000
1750	1350	31135695	31135695.000	18333	18333.000
1550	650	31135695	31135695.000	23469	23469.000
1900	1300	31135695	31135695.000	20939	20939.000
600	300	31135695	31135695.000	378074	378074.000
1200	750	31135695	31135695.000	67184	67184.000
1700	400	31135695	31135695.000	16249	16249.000
1000	750	31135695	31135695.000	149486	149486.000
1400	200	31135695	31135695.000	19389	19389.000
2100	1400	31135695	31135695.000	17895	17895.000
1450	300	31135695	31135695.000	19727	19727.000
1450	600	31135695	31135695.000	22234	22234.000
1500	0	31135695	31135695.000	16286	16286.000
800	350	31135695	31135695.000	146708	146708.000
1500	300	31135695	31135695.000	19624	19624.000
1900	200	31135695	31135695.000	21888	21888.000
2250	700	31135695	31135695.000	22252	22252.000
2050	200	31135695	31135695.000	20650	20650.000
1700	0	31135695	31135695.000	20163	20163.000
1500	900	31135695	31135695.000	18864	18864.000
1750	600	31135695	31135695.000	22663	22663.000
950	400	31135695	31135695.000	143286	143286.000
2100	1450	31135695	31135695.000	21395	21395.000
1800	1000	31135695	31135695.000	20243	20243.000
2150	1550	31135695	31135695.000	23466	23466.000
1800	100	31135695	31135695.000	16114	16114.000
1700	1300	31135695	31135695.000	20235	20235.000
1900	900	31135695	31135695.000	20246	20246.000
1000	0	31135695	31135695.000	145614	145614.000
1750	400	31135695	31135695.000	18895	18895.000
2100	1550	31135695	31135695.000	14970	14970.000
1950	1500	31135695	31135695.000	17852	17852.000
1200	0	31135695	31135695.000	66115	66115.000
1050	650	31135695	31135695.000	152755	152755.000
2250	0	31135695	31135695.000	23911	23911.000
1200	600	31135695	31135695.000	67766	67766.000
2150	1150	31135695	31135695.000	15926	15926.000
2150	1400	31135695	31135695.000	22621	22621.000
2300	600	31135695	31135695.000	20801	20801.000
1700	1050	31135695	31135695.000	21810	21810.000
1750	700	31135695	31135695.000	20003	20003.000
1650	300	31135695	31135695.000	21653	21653.000
