#mGo	mLSP\ISRweight\ISRweight_up\ISRweight_down
1350	1050	1.130862	1.061422	1.210023
1050	300	1.144135	1.067235	1.232979
1750	1150	1.122994	1.057943	1.196570
1300	1050	1.138721	1.064874	1.223575
1750	1450	1.118996	1.056164	1.189777
2050	1500	1.114890	1.054331	1.182830
1600	1350	1.131068	1.061513	1.210378
1600	1300	1.124120	1.058442	1.198488
2150	0	1.171507	1.079000	1.281363
850	625	1.151331	1.070357	1.245560
1650	1300	1.115878	1.054773	1.184498
2200	900	1.138057	1.064581	1.222427
950	700	1.145449	1.067806	1.235268
750	400	1.134027	1.062814	1.215468
1200	100	1.157965	1.073215	1.257246
1900	300	1.160696	1.074389	1.262081
1800	1450	1.111683	1.052894	1.177426
1900	500	1.149658	1.069633	1.242625
1700	950	1.130337	1.061190	1.209124
1300	200	1.156927	1.072770	1.255412
2200	600	1.152200	1.070731	1.247087
2000	1550	1.109563	1.051942	1.173863
2300	1350	1.124575	1.058643	1.199265
900	400	1.137761	1.064452	1.221914
800	450	1.133696	1.062668	1.214898
1650	0	1.165310	1.076363	1.270283
1400	0	1.164242	1.075906	1.268381
1000	450	1.137414	1.064300	1.221314
2150	1300	1.123473	1.058153	1.197387
1600	750	1.137186	1.064200	1.220920
1550	1300	1.130491	1.061259	1.209387
1350	650	1.136957	1.064100	1.220524
1200	950	1.140201	1.065520	1.226141
2100	1500	1.112144	1.053100	1.178201
1400	450	1.144618	1.067445	1.233819
1900	1000	1.131500	1.061702	1.211121
2050	900	1.138118	1.064608	1.222534
600	350	1.142973	1.066728	1.230955
2050	1350	1.120655	1.056903	1.192593
1100	550	1.135525	1.063472	1.218051
1700	1200	1.119706	1.056480	1.190981
1850	200	1.164253	1.075911	1.268401
1100	100	1.155985	1.072364	1.253749
1300	550	1.139278	1.065116	1.224540
950	550	1.134090	1.062842	1.215577
1750	1200	1.119558	1.056414	1.190731
2000	1150	1.127918	1.060123	1.204976
2250	1250	1.128128	1.060215	1.205336
1250	400	1.143734	1.067060	1.232280
2200	1000	1.136748	1.064009	1.220163
950	600	1.131976	1.061912	1.211939
750	350	1.135627	1.063516	1.218227
1450	650	1.136469	1.063887	1.219681
1500	950	1.126966	1.059702	1.203347
2250	1500	1.118103	1.055766	1.188263
1250	650	1.132902	1.062319	1.213531
1450	750	1.133067	1.062393	1.213814
1000	775	1.148803	1.069262	1.241128
1450	950	1.126461	1.059479	1.202484
900	650	1.145963	1.068029	1.236164
2250	1200	1.131817	1.061842	1.211666
2000	1300	1.120867	1.056997	1.192953
1650	100	1.166138	1.076715	1.271759
1050	450	1.139151	1.065060	1.224321
2150	1250	1.126684	1.059577	1.202867
1550	750	1.133595	1.062623	1.214724
2000	1500	1.111560	1.052839	1.177218
1600	1250	1.117064	1.055302	1.186504
950	500	1.135609	1.063509	1.218196
1300	900	1.127244	1.059824	1.203824
650	400	1.144619	1.067445	1.233822
1900	600	1.147982	1.068906	1.239693
1850	1500	1.110619	1.052416	1.175636
1250	100	1.158819	1.073583	1.258758
850	400	1.136615	1.063950	1.219933
850	550	1.140650	1.065715	1.226919
1300	1000	1.132302	1.062056	1.212499
2100	100	1.169667	1.078219	1.278065
1700	700	1.140656	1.065719	1.226930
2250	100	1.172626	1.079474	1.283373
1750	1350	1.117225	1.055374	1.186776
1550	650	1.139205	1.065083	1.224415
1900	1300	1.116452	1.055029	1.185468
600	300	1.137203	1.064207	1.220949
1200	750	1.130295	1.061172	1.209050
1700	400	1.152674	1.070935	1.247920
1000	750	1.144661	1.067464	1.233893
1400	200	1.156052	1.072393	1.253868
2100	1400	1.117053	1.055297	1.186487
1450	300	1.152858	1.071016	1.248242
1450	600	1.140140	1.065492	1.226036
1500	0	1.164633	1.076073	1.269078
800	350	1.136580	1.063935	1.219873
1500	300	1.154029	1.071522	1.250303
1900	200	1.161673	1.074806	1.263815
2250	700	1.148731	1.069230	1.241004
2050	200	1.167307	1.077213	1.273847
1700	0	1.167139	1.077143	1.273545
1500	900	1.129950	1.061020	1.208458
1750	600	1.145050	1.067633	1.234573
950	400	1.138994	1.064992	1.224049
2100	1450	1.116102	1.054873	1.184878
1800	1000	1.128262	1.060274	1.205567
2150	1550	1.110910	1.052547	1.176125
1800	100	1.166270	1.076772	1.271995
1700	1300	1.116863	1.055213	1.186165
1900	900	1.134443	1.062998	1.216185
1000	0	1.155770	1.072271	1.253372
1750	400	1.152188	1.070727	1.247064
2100	1550	1.112119	1.053090	1.178159
1950	1500	1.110297	1.052272	1.175096
